"","X","File","Words","Contour"
"1",11,"CHO-P1-target4.wav","disfluent ",""
"2",71,"CHO-P3-target15.wav","disfluent ","L-H% LH LH L-L% "
"3",116,"CHO-P6-target12.wav","disfluent ",""
"4",135,"CHO-P7-target15.wav","disfluent ",""
"5",136,"CHO-P7-target16.wav","disfluent ","LH L-H% "
"6",141,"CHO-P7-target6.wav","disfluent ",""
"7",37,"CHO-P11-target13.wav","laavanya aaraam karti hase ","LH LH LH L-L% "
"8",127,"CHO-P6-target8.wav","ananyaa <p> kheDvaanu kaam karti hase ","LHL-H% LH 0 LH L-H% "
"9",NA,"GUJ-P2-target1.wav","disfluent ",""
"10",NA,"GUJ-P2-target11.wav","disfluent ",""
"11",NA,"GUJ-P2-target14.wav","disfluent ",""
"12",NA,"GUJ-P2-target2.wav","disfluent ",""
"13",NA,"GUJ-P2-target5.wav","disfluent ",""
"14",NA,"GUJ-P2-target9.wav","disfluent ",""
"15",NA,"MAR-P6-target5.wav","disfluent ",""
"16",NA,"MAR-P10-target14.wav","ananyaa vyaayaam karte aahe ","L H 0 L-H% "
